id,workflow,task,quality,micro,failed_tags,target_tags,non_eg2_tags,rule_failed,llm_failed,n_failed,score,line_number,query
risk_suitability_review_repaired_005,Risk and Compliance Review,Suitability review,2,0.5,DB7;DB9;EG2;QV2;QV6,DB7;DB9;QV2;QV6,DB7;DB9;QV2;QV6,,DB7;DB9;EG2;QV2;QV6,5,17.3,1041,"Complete an options strategy suitability checklist for SR-005. In checklist format, compare the requested strategy with the account approval level, compute the maximum-loss percentage of portfolio value, cite the governing policy and ticket facts, decide whether the trade is permitted under current approval, and identify the approval change or revision needed. Produce the options strategy suitability checklist under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the options strategy suitability checklist with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_trade_order_ticket_preparation_027,Decision and Structuring,Trade order ticket preparation,3,0.6,DB7;DB9;EG2;QV2,DB7;DB9;QV2,DB7;DB9;QV2,,DB7;DB9;EG2;QV2,4,15.2,223,"Draft a multi-leg option spread order ticket for the XYZ adjustment. List each option leg separately, classify the strategy, verify that 2 contracts are covered by 300 underlying shares, record the net credit limit, mark the order solicited, and state whether the ticket fits the account options approval level. Produce the option spread order ticket under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; use only packet-supported category, status, classification, or risk-level labels; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the option spread order ticket with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_capital_structure_financing_proposal_004,Decision and Structuring,Capital structure / financing proposal,3,0.5555555555555556,DB7;DB9;EG2;QV2,DB7;DB9;QV2,DB7;DB9;QV2,,DB7;DB9;EG2;QV2,4,15.111,32,"Build a maturity-wall action plan for Eastbank Cold Storage. Use a timeline format that shows what matures at 6, 14, and 30 months before and after the proposed actions. Use only the provided documents, cite visible material labels, calculate how much debt remains due inside 18 months under Options A, B, and C, assess which option most reduces refinancing concentration, include the customer-loss EBITDA sensitivity, and state which open approvals or execution risks remain. Produce the maturity-wall action plan under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the maturity-wall action plan with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the maturity-wall action plan with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_capital_structure_financing_proposal_025,Decision and Structuring,Capital structure / financing proposal,3,0.5,DB7;DB9;EG2;FP3;QV2,DB7;DB9;QV2,DB7;DB9;FP3;QV2,FP3,DB7;DB9;EG2;QV2,5,14.7,53,"Prepare a sale-leaseback financing proposal for Willow Creek Manufacturing. Compare the sale-leaseback, secured term loan, and common equity alternatives. Use only the provided documents, cite visible material labels, calculate leverage under the term-loan alternative, compare annual rent with annual interest on the term loan, discuss collateral, ownership dilution, and long-term occupancy trade-offs, and identify which alternative best matches management’s collateral preference. Produce the sale-leaseback financing proposal under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the sale-leaseback financing proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
intake_kyc_onboarding_repaired_022,Intake and Profiling,KYC onboarding,2,0.4444444444444444,DB7;DB9;EG2;QV5,DB7;DB9;QV5,DB7;DB9;QV5,,DB7;DB9;EG2;QV5,5,14.489,582,"Compile an evidence index for Aurora Tile Imports LLC. Use the required topics as row labels, map each topic to a document or mark Missing, include a high-risk activity note for expected import payments, and omit raw identification numbers while preserving the EIN ending if mentioned. Produce the KYC package evidence index under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any approval, rejection, hold, escalation, exception, classification, recommendation, or boundary, name the controlling trigger and why a softer or opposite outcome is not supported; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; for any deadline, review window, date count, aging bucket, retention period, or as-of-date test, show source dates, formula or comparison, timing status, and business implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the KYC package evidence index with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the KYC package evidence index with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
execution_risk_alert_generation_repaired_023,"Execution, Monitoring, Reporting, and Operations",Risk alert generation,4,0.8181818181818182,QV2;QV5,QV2;QV5,QV2;QV5,,QV2;QV5,2,13.636,471,"Draft a vendor risk alert for the NorthBridge Data Services incident. Use only the provided documents, cite the incident notification status, identify the affected production data feed, separate known facts from unknowns, include the last clean valuation file date, do not state that client data was exfiltrated, name the business owner, and include the required actions with deadline. Produce the vendor risk alert under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; for any deadline, review window, date count, aging bucket, retention period, or as-of-date test, show source dates, formula or comparison, timing status, and business implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the vendor risk alert with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
execution_board_regulatory_reporting_repaired_014,"Execution, Monitoring, Reporting, and Operations",Board / regulatory reporting,3,0.6666666666666666,EG2;QV2;QV5,QV2;QV5,QV2;QV5,,EG2;QV2;QV5,3,10.633,266,"Create a regulatory filing calendar status report for Summit Fund Series. Assign a status label to each filing-calendar task, calculate days until due date for open tasks using June 18, 2026 as the current date, flag tasks that are At risk or Late, mention prior month filing acceptance, and list the immediate next steps. Produce the regulatory filing calendar status report under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; use only packet-supported category, status, classification, or risk-level labels; for any deadline, review window, date count, aging bucket, retention period, or as-of-date test, show source dates, formula or comparison, timing status, and business implication. Open the regulatory filing calendar status report with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
risk_disclosure_review_repaired_020,Risk and Compliance Review,Risk disclosure review,3,0.6,EG2;FP3;QV2;QV5,QV2;QV5,FP3;QV2;QV5,FP3,EG2;QV2;QV5,4,10.2,20,"Prepare a risk-factor boilerplate cleanup note for Harbor Glass Packaging Co. Use only the provided documents. Provide a cleanup table with Existing generic wording, Why it is generic or misplaced, Source fact to add, Required action, and Priority. Identify which generic risks should move to General Risk Factors at the end, which should be rewritten with issuer- or offering-specific facts, and which missing risks should be added. Keep the note focused on disclosure cleanup; do not opine on whether the offering should proceed. Produce the risk-factor boilerplate cleanup note under an audit-ready reconciliation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; for any deadline, review window, date count, aging bucket, retention period, or as-of-date test, show source dates, formula or comparison, timing status, and business implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the risk-factor boilerplate cleanup note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the risk-factor boilerplate cleanup note to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
intake_missing_information_checklist_repaired_027,Intake and Profiling,Missing information checklist,3,0.75,DB4;DB7;EG2,DB4;DB7,DB4;DB7,,DB4;DB7;EG2,3,9.8,643,"Draft a concise client-facing request list for Owen and Riley Chen. Use only the provided context. Ask for only the items needed to complete intake, avoid internal classifications, use plain language, keep the request under 140 words, and do not include visible material labels or internal policy names. Make clear that recommendations cannot be finalized until both consent and profile conflicts are resolved. Produce the client-facing concise request list under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any approval, rejection, hold, escalation, exception, classification, recommendation, or boundary, name the controlling trigger and why a softer or opposite outcome is not supported; use only packet-supported category, status, classification, or risk-level labels; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome. Open the client-facing concise request list with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
intake_client_risk_profiling_repaired_002,Intake and Profiling,Client risk profiling,3,0.7272727272727273,DB9;EG2;QV6,DB9;QV6,DB9;QV6,,DB9;EG2;QV6,3,9.755,506,"Create a capacity-for-loss review for Elena Ortiz before her retirement-income profile is finalized. Give a yes/no capacity sufficiency conclusion, calculate her emergency-reserve months after the planned withdrawal, identify which facts are client statements versus reviewer conclusions, list open questions, and avoid changing her risk tolerance solely because of age. Produce the capacity-for-loss review under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the capacity-for-loss review with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
risk_compliance_internal_control_review_repaired_020,Risk and Compliance Review,Internal control review,3,0.7,EG2;EG5;FP3,EG5,EG5;FP3,FP3,EG2;EG5,3,2.7,944,"Prepare a mortgage-rate-lock control review for RL-819. Use only the supplied documents. Separate completeness issues from timing issues, verify each required rate-lock field, determine whether the $750 waiver required prior branch manager approval, and state whether the disclosure package must be corrected. Produce the mortgage-rate-lock control review under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the mortgage-rate-lock control review with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
