bench_id,workflow,task,line_number,sem_tags,all_tags,rarity_keep_score,task_pass_count,generic_common,query
tonight_hard_line_206,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,206,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.0734,5,6,"Write an investment thesis update for LumenGrid Analytics. Separate original thesis points, current evidence, and management explanations; classify ARR, net revenue retention, and pilot conversion as On Track, At Risk, or Broken; calculate the ARR shortfall versus plan; and do not recommend additional capital. Use only the provided documents and cite the visible material labels for material facts. Produce the investment thesis update under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the investment thesis update with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_110,Decision and Structuring,Portfolio proposal,110,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP3;FP4;FP6;QV2,0.0734,4,6,"Prepare a municipal bond allocation proposal for Sage Taxable Portfolio. Present the output as current and pro forma exposure table. Use only the provided documents and cite the visible material labels for material facts. The proposal must calculate pro forma in-state municipal exposure; verify whether the A rating meets policy; recommend proceed, resize, or decline; and avoid giving tax advice beyond portfolio context. Address the client objective, current portfolio facts, and policy constraints supplied in the context. Produce the municipal bond allocation proposal under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the municipal bond allocation proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the municipal bond allocation proposal to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_175,Decision and Structuring,Portfolio proposal,175,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP3;FP4;FP6;QV2,0.0734,4,6,"Prepare a tactical overlay proposal for Northgate Balanced Portfolio. Present the output as bulleted overlay note. Use only the provided documents and cite the visible material labels for material facts. The proposal must calculate post-overlay weights; compare the tilt with the plus or minus 4 percentage point band; decide approve, scale back, or reject; and avoid market-timing certainty language. Address the client objective, current portfolio facts, and policy constraints supplied in the context. Produce the tactical overlay proposal under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the tactical overlay proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the tactical overlay proposal to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_289,Risk and Compliance Review,Covenant check,289,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.0734,3,6,"Assess whether the Horizon Biofuels cross-default trigger is met. Organize the answer as Amount Test, Default Status, Acceleration Right, Open Evidence, and Escalation Recommendation. Use only the provided materials, compare the other debt amount with the $2.0 million threshold, identify what is confirmed versus still unverified, and do not state that acceleration has occurred unless the documents say so. Produce the cross-default trigger assessment under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the cross-default trigger assessment with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_275,Risk and Compliance Review,Regulatory issue escalation,275,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP3;FP4;FP6;QV2,0.0734,3,6,"Assemble a vendor-risk escalation packet for ESC-2021. Score each trigger as Met, Not met, or Unknown; cite visible material labels; compare notice delay and service outage to the 24-hour thresholds; identify required recipients; list missing forensic and notice-analysis facts; and do not state that data exfiltration occurred. Produce the vendor-risk escalation packet under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the vendor-risk escalation packet with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the vendor-risk escalation packet to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_308,Risk and Compliance Review,Regulatory issue escalation,308,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.0734,3,6,"Draft a short-sale compliance escalation brief for ESC-2024. Identify order count, security scope, manual override reason, locate evidence gap, and fail-to-deliver check. cite visible material labels, compare the 83 orders to the escalation threshold, name required recipients, and do not state that the short sales were unlawful. Produce the short-sale compliance escalation brief under an audit-ready reconciliation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the short-sale compliance escalation brief with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_186,"Execution, Monitoring, Reporting, and Operations",Client review report,186,DB4;DB6;DB9;EG2;QV2,DB4;DB6;DB9;EG2;FP2;FP3;FP4;FP6;QV2,0.076,4,5,"Create an issuer concentration exception report for Oakline Dividend Strategy. Use a two-row table for market-value concentration and income concentration, compare Fairoaks Utilities with each stated limit, classify the exception status, include the monitoring action required by the workflow, compare month-to-date return with the benchmark, and avoid recommending an immediate sale if the ex-dividend blocker applies Frame the note for inclusion in a client review package. Produce the issuer concentration exception report under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the issuer concentration exception report with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_017,Intake and Profiling,Counterparty / issuer profile construction,17,DB4;DB6;DB9;EG1;EG2;QV2,DB4;DB6;DB9;EG1;EG2;FP1;FP3;FP4;FP6;QV2,0.0875,6,6,"Build a trading counterparty limit intake note for Fenwick Grain Cooperative. Use only the context. Show the requested limit as a percentage of tangible net worth, identify any limit-size exception, and classify the intake action as proceed to Credit Risk review, return for information, or block setup. Include legal identity, instrument type, collateral, agreement status, settlement instructions, current exposure, and screening, with document-id citations for exceptions. Do not approve the requested limit. Produce the trading counterparty limit intake under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the trading counterparty limit intake with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the trading counterparty limit intake with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_009,Research and Due Diligence,Financial statement analysis,9,DB4;DB6;DB9;EG1;EG2;QV2,DB4;DB6;DB9;EG1;EG2;FP2;FP3;FP4;FP6;QV2,0.0875,3,6,"Build a covenant waiver evidence checklist for Granite Solar. Use rows for each covenant and separate rows for missing waiver evidence. Use only the documents, cite visible material labels, calculate net leverage and interest coverage, mark each covenant as Pass, Breach, or Cannot determine, list the missing consent/payment schedule/CFO certification evidence, and do not state that a waiver is granted. Produce the covenant waiver evidence checklist under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the covenant waiver evidence checklist with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_137,Research and Due Diligence,Financial statement analysis,137,DB4;DB6;DB9;EG1;EG2;QV2,DB4;DB6;DB9;EG1;EG2;FP1;FP3;FP4;FP6;QV2,0.0875,3,6,"Prepare a products/services mix benchmark for Nimbus Mobile using Apple as the comparable. Use one table and three bullets. Use only the context, cite visible material labels, calculate services revenue share and category gross margins for both companies, compute Nimbus Mobile services-share gap versus Apple, flag whether the mix-gap rule is triggered, and do not present Apple as the company being analyzed. Produce the products/services mix benchmark under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the products/services mix benchmark with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the products/services mix benchmark with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_083,Research and Due Diligence,Background screening,83,DB6;DB9;EG1;EG2;EG5;QV2,DB6;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.0909,6,6,"Draft an adverse media triage note for Riverton Solar Storage. Classify each media item as High, Medium, Low, or Insufficient-source, count the items in each class, cite visible material labels beside each item, and end with whether Compliance escalation is needed now or only after follow-up evidence. Keep allegations separate from confirmed facts. Produce the adverse media triage note under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels. Open the adverse media triage note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_150,Intake and Profiling,Counterparty / issuer profile construction,150,DB4;DB6;DB9;EG1;EG2;EG5;QV2,DB4;DB6;DB9;EG1;EG2;EG5;FP3;FP4;FP6;QV2,0.1079,6,7,"Assemble a payment processor counterparty profile for Quayline Payments Inc. from the supplied context only. Use bullet groups for Merchant Mix, Operating Footprint, Risk Metrics, Control and Ownership, Screening, and Intake Completeness. Compare the chargeback rate to the 1.00% concern threshold, identify any missing data-security evidence, cite visible material labels for concerns, classify the intake as complete, incomplete, or concern-triggered, and do not approve payment processing exposure. Produce the payment processor counterparty profile under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the payment processor counterparty profile with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the payment processor counterparty profile to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
