bench_id,workflow,task,line_number,sem_tags,all_tags,rarity_keep_score,task_pass_count,generic_hits,keep_hits,selection_score,query
tonight_hard_line_150,Intake and Profiling,Counterparty / issuer profile construction,150,DB4;DB6;DB9;EG1;EG2;EG5;QV2,DB4;DB6;DB9;EG1;EG2;EG5;FP3;FP4;FP6;QV2,0.1079,6,7,0,19.892,"Assemble a payment processor counterparty profile for Quayline Payments Inc. from the supplied context only. Use bullet groups for Merchant Mix, Operating Footprint, Risk Metrics, Control and Ownership, Screening, and Intake Completeness. Compare the chargeback rate to the 1.00% concern threshold, identify any missing data-security evidence, cite visible material labels for concerns, classify the intake as complete, incomplete, or concern-triggered, and do not approve payment processing exposure. Produce the payment processor counterparty profile under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the payment processor counterparty profile with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the payment processor counterparty profile to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_087,Intake and Profiling,Loan application intake,87,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP1;FP3;FP4;FP6;QV2,0.0734,6,6,0,17.927,"Draft a collateral intake completeness note for Canyon Tooling LLC. Use only the provided context, cite visible material labels for each factual point, and separate documented collateral from borrower-stated collateral. Calculate preliminary documented collateral coverage under the policy, flag collateral gaps caused by missing valuation, missing serial numbers, missing UCC search, or prior liens, and end with the evidence needed before credit review. Do not assign a final collateral value or approve credit. Produce the collateral intake completeness note under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the collateral intake completeness note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the collateral intake completeness note with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_330,Intake and Profiling,Loan application intake,330,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP3;FP4;FP6;QV2,0.0734,6,6,0,17.927,"Prepare a commercial real estate intake package gap list for Ironwood Flats LLC. Use only the provided context and cite visible material labels. Separate borrower-identity items from property/collateral items, identify CRE-specific missing or stale documents, and state the corrected project-address requirement. Do not provide a property valuation conclusion or credit approval. Produce the commercial real estate intake package gap list under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the commercial real estate intake package gap list with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the commercial real estate intake package gap list to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_017,Intake and Profiling,Counterparty / issuer profile construction,17,DB4;DB6;DB9;EG1;EG2;QV2,DB4;DB6;DB9;EG1;EG2;FP1;FP3;FP4;FP6;QV2,0.0875,6,6,0,17.913,"Build a trading counterparty limit intake note for Fenwick Grain Cooperative. Use only the context. Show the requested limit as a percentage of tangible net worth, identify any limit-size exception, and classify the intake action as proceed to Credit Risk review, return for information, or block setup. Include legal identity, instrument type, collateral, agreement status, settlement instructions, current exposure, and screening, with document-id citations for exceptions. Do not approve the requested limit. Produce the trading counterparty limit intake under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the trading counterparty limit intake with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the trading counterparty limit intake with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_083,Research and Due Diligence,Background screening,83,DB6;DB9;EG1;EG2;EG5;QV2,DB6;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.0909,6,6,0,17.909,"Draft an adverse media triage note for Riverton Solar Storage. Classify each media item as High, Medium, Low, or Insufficient-source, count the items in each class, cite visible material labels beside each item, and end with whether Compliance escalation is needed now or only after follow-up evidence. Keep allegations separate from confirmed facts. Produce the adverse media triage note under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels. Open the adverse media triage note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_092,Intake and Profiling,Missing information checklist,92,DB4;DB6;DB9;EG1;EG2;EG5;QV2,DB4;DB6;DB9;EG1;EG2;EG5;FP1;FP3;FP4;FP6;QV2,0.1079,4,7,0,17.892,"Send an internal use-of-proceeds evidence request for Canyon Dental Lab LLC. Use only the provided context. Reconcile each requested use category to evidence received, identify unsupported amounts, classify unsupported items under the loan intake policy, cite visible material labels, assign an owner for each cure, and do not make an underwriting recommendation. Produce the use-of-proceeds evidence request under an audit-ready reconciliation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the use-of-proceeds evidence request with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the use-of-proceeds evidence request with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_101,Intake and Profiling,Counterparty / issuer profile construction,101,DB4;DB8;DB9;EG1;EG2;EG5;QV2,DB4;DB8;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.1401,6,6,0,17.86,"Prepare a revenue concentration profile for Rowan Analytics Inc. using only the supplied context. Present Supplied Facts and Analyst Observations separately. Calculate top-three customer concentration, test the single-customer and top-three thresholds, cite visible material labels for concentration concerns, include contract renewal timing for the named customers, and do not recommend whether to invest in the convertible note. Produce the revenue concentration profile under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; keep hypothetical, projected, target, testimonial, endorsement, ranking, sales-claim, and performance language inside the boundary supported by the packet; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the revenue concentration profile with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_104,Research and Due Diligence,Background screening,104,DB2;DB6;DB9;EG1;EG2;EG5;QV2,DB2;DB6;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.1909,6,6,0,17.809,"Write a regulatory event severity note for Keystone Orchard Foods. Classify each regulatory event under the four labels, compare the monetary penalty with the USD 100,000 threshold, separate open inquiries from findings, cite visible material labels, and give a current-severity conclusion that does not overstate older closed events. Produce the regulatory event severity note under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels. Open the regulatory event severity note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_088,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,88,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.0734,5,6,0,16.927,"Prepare a post-investment liquidity runway review for OrbitMed Devices. Calculate months of runway, compare it with the 9-month requirement and the 2027-02-15 milestone timing, state whether bridge financing evidence is documented, and do not assume new financing. Use only the provided documents and cite the visible material labels for material facts. Produce the post-investment liquidity runway review under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared. Open the post-investment liquidity runway review with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_206,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,206,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.0734,5,6,0,16.927,"Write an investment thesis update for LumenGrid Analytics. Separate original thesis points, current evidence, and management explanations; classify ARR, net revenue retention, and pilot conversion as On Track, At Risk, or Broken; calculate the ARR shortfall versus plan; and do not recommend additional capital. Use only the provided documents and cite the visible material labels for material facts. Produce the investment thesis update under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the investment thesis update with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_262,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,262,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP1;FP3;FP4;FP6;QV2,0.0734,5,6,0,16.927,"Build a post-loan annual review action plan for Willow Creek Specialty Chemicals. Group each item as Covenant, Documentation, or Business Update; test DSCR and leverage against their covenants; assign owner, due date, and Open, Completed, or Escalate status; and make sure the leverage breach is not treated as only a documentation request. Use only the provided documents and cite the visible material labels for material facts. Produce the post-loan annual review action plan under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the post-loan annual review action plan with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the post-loan annual review action plan with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_358,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,358,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.0734,5,6,0,16.927,"Create a post-close covenant review table for Maple Grove Distribution Inc. with columns Requirement, Deadline, Evidence Status, Test Result, Exception Yes/No, and Next Step. Test availability against the $7.5 million minimum, identify missing evidence after the 45-day deadline, and state whether the package can be marked complete. Use only the provided documents and cite the visible material labels for material facts. Produce the post-close covenant review table under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared. Open the post-close covenant review table with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_146,Research and Due Diligence,Industry and market research,146,DB6;DB9;EG1;EG2;EG5;QV2,DB6;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.0909,5,6,0,16.909,"Assemble a pricing pressure note for LakeAxis. Calculate the 2023-to-2025E list-price decline and the average 2025E discount, apply the the material labeled owner field note high/moderate/low pressure rule, connect the finding to the usage-based revenue mix, cite visible material labels, and explicitly say whether gross margin impact is unavailable. Produce the pricing pressure note under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the pricing pressure note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_072,Risk and Compliance Review,Internal control review,72,DB4;DB9;EG1;EG2;EG5;FP1;QV2,DB4;DB9;EG1;EG2;EG5;FP1;FP3;FP4;FP6;QV2,0.2401,5,6,0,16.76,"Write a journal-entry approval control memo for JE-5197. Separate approval failure from documentation failure under different headings. Use only the context documents, cite the policy threshold and close-binder evidence, determine whether independent approval occurred, identify missing records, and apply the issue rating guide without combining the two deficiencies into one finding. Produce the journal-entry approval control memo under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the journal-entry approval control memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the journal-entry approval control memo with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_357,"Execution, Monitoring, Reporting, and Operations",Risk alert generation,357,DB4;DB9;EG1;EG2;QV2,DB4;DB9;EG1;EG2;FP1;FP3;FP4;FP6;QV2,0.053,6,5,0,15.947,"Draft a rating downgrade alert for Northvale Health Systems. Use only the supplied documents, cite the downgrade and exposure facts, verify whether both the below-investment-grade and 1.5% NAV triggers are met, identify the split-rating status, do not imply Agency B downgraded the issuer, name the analyst, and include the required watch-list and credit committee timing. Produce the rating downgrade alert under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the rating downgrade alert with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the rating downgrade alert with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_110,Decision and Structuring,Portfolio proposal,110,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP3;FP4;FP6;QV2,0.0734,4,6,0,15.927,"Prepare a municipal bond allocation proposal for Sage Taxable Portfolio. Present the output as current and pro forma exposure table. Use only the provided documents and cite the visible material labels for material facts. The proposal must calculate pro forma in-state municipal exposure; verify whether the A rating meets policy; recommend proceed, resize, or decline; and avoid giving tax advice beyond portfolio context. Address the client objective, current portfolio facts, and policy constraints supplied in the context. Produce the municipal bond allocation proposal under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the municipal bond allocation proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the municipal bond allocation proposal to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
